Agricultura,¡Vivan los pesticidadas!,Faustino el agricultor,Los agricultores creemos que se necesita mas financiacion para el uso de pesticidas ¿que opinas?,Evento fijo,50,,10,5,-10,-5,-5,,,-5,-5,,,10,,Los pesticidas tienen consecuencias terribles en filtraciones de agua y en la salud de la gente
Agricultura,Necesidad de agua,Faustino el agricultor,Si seguimos asi la cosecha morira necesitamos usar las aguas del acuifero,Evento fijo,50,,20,-5,-15,-15,-20,,,-5,10,,,,ficha sequia,La desviación de acuiferos puede provocar una sequia en la zona
Agricultura,Riego por goteo,Paqui Jefa de Medio Ambiente,Queremos poner riego por goteo para aprovechar todo el agua que tengamos aunque es muy costoso,ficha sequia,,,-15,5,10,,,,,,,-10,,,,Es un tipo de regadio que aprovecha todo el agua posible
Agricultura,Nuevas tierras,Faustino el agricultor,Nuestras tierras anteriores tienen demasiada toxicidad para plantar cultivos por culpa los pesticidas necesitamos nuevos terrenos,ficha pesticidas,,Venga vale,-15,,-5,,-5,,Jamas,,-10,,,,,El uso excesivo de pesticidas puede provocar intoxicaciones no solo de los humanos sino tambien de los suelos
Agricultura y Ganaderia,Plaga de conejos,Eli agente forestal,Hay demasiados conejos van a arrasar con nuestros cultivos ¿que hacemos?,,,Acabad con los conejos,,,,-25,,,No exagereis solo son animales,,,-25,,,,Las plagas de animales pueden ser limitadas o destruiran todo a su paso
Deforestacion,Limpieza de montes,Eli agente forestal,Hay que limpiar los montes para ayudar en los posibles incendios,Evento fijo,50,,-10,10,,,5,,,,,-5,,,,A veces es necasario deforestar para que no aumenten los incendios.Los arboles son necesarios para la fauna y la limpieza del aire
Deforestacion,No al maltrato de los bosques,Toni el activista,No a la destrucción de los bosques dejen de robar las piñas y los elementos de la naturaleza,Evento fijo,50,,15,,-5,,,,,,-10,,,,,A veces aunque se piense que no hacer nada es lo mejor la  mano humana puede ayudar mucho
Deforestacion,Cambio climático,Rodrigo el Biologo,El cambio climático viene haciendo estragos habría que plantar árboles resistentes a los climas nuevos,,,,-15,,15,,,,,,,-10,,,,El cambio climatico viene haciendo estragos y en ciertos lugares los arboles no duraran y sera necesario reforestar con  nuevas especies resistentes a los climas
Energia eolica,Viva el aire ,Paqui Jefa de Medio Ambiente,Creo que podria ser interesante instalar algunas turbinas eolicas para la generación de energia de la zona,Evento fijo,50,,15,5,-5,-10,,ficha eolica,,,-10,5,5,,,Fuente limpia de energia pero ¿es lo suficiente con los gastos que supone y la cantidad de aves que mueren?
Energia eolica,Molinillos,Rodrigo el Biologo,La gente quiere que se instalen molinos de viento. No creo que sea buena para la conservacion de las especies,Evento fijo,50,Tienes razon pasamos de los molinos,,-10,5,5,,,Vamos a probar,15,5,-5,-10,,ficha eolica,Fuente limpia de energia pero ¿es lo suficiente con los gastos que supone y la cantidad de aves que mueren?
